Country Name,2015,2016,2017,2018,2019,2020
France,36638.18493,37037.37419,38685.25849,41526.41466,40380.09877,38625.06738
French Polynesia,..,..,..,..,..,..
Gabon,7384.700704,6984.419712,7230.434912,7956.627816,7767.016979,7005.879097
"Gambia, The",660.7235712,690.7804932,679.7550717,732.7207273,777.8152452,787.0064509
Georgia,4014.185944,4062.169888,4357.000936,4722.787783,4697.983652,4278.860771
Germany,41086.72967,42107.51727,44442.77184,47787.16051,46467.5162,45723.6441
Ghana,1705.575082,1913.473536,2020.68179,2194.232477,2210.355923,2328.534642
Gibraltar,..,..,..,..,..,..
Greece,18050.09761,17885.39281,18562.22943,19765.99645,19150.7862,17676.19248
Greenland,44536.40131,48181.87419,50321.36875,54470.95639,..,..
Grenada,9096.538652,9628.172843,10152.83281,10486.37759,10815.91136,9680.175825
Guam,35829.25036,36214.00692,36601.91988,36502.38282,37723.78134,..
Guatemala,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339617
Guinea,769.2554754,732.2915119,855.5752706,955.1112811,1058.143368,1194.037865
Guinea-Bissau,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717
Guyana,5576.82607,5811.397924,6124.95367,6145.818743,6609.510431,6955.939217
Haiti,1389.119779,1265.986932,1294.239628,1435.350852,1272.490699,1176.75582
Honduras,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,2405.732848
"Hong Kong SAR, China",42431.88828,43731.10682,46165.85651,48542.68187,48354.47337,46323.86344
Hungary,12706.89121,13090.50673,14605.85435,16411.44111,16733.32217,15899.14828
Iceland,52951.68151,61987.92636,72010.14903,74348.36228,68883.14877,59260.88714
India,1605.605445,1732.554242,1980.66702,1996.915087,2100.751461,1900.70681
Indonesia,3331.695115,3562.816334,3837.578024,3893.859578,4135.201531,3869.588427
"Iran, Islamic Rep.",4904.327315,5253.42656,5520.314782,3598.483454,3114.622753,2282.551865
Iraq,4688.318017,4550.658638,5076.690795,5523.078375,5658.492267,4157.484495
Ireland,62000.11881,62993.7451,70413.12183,79297.7292,80778.82961,83812.80297
Isle of Man,85126.97047,82197.12677,83477.83429,89112.66772,..,..
Israel,35813.71341,37282.53056,40474.66813,41704.82857,43588.71315,43610.52033
Italy,30230.2263,30939.71425,32326.67421,34608.6756,33566.7873,31676.2021
Jamaica,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,4664.52915
Japan,34524.46986,38761.81815,38386.51115,39159.42356,40113.06097,..
Jordan,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,4282.765823
Kazakhstan,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9055.745009
Kenya,1336.883265,1410.532025,1572.345734,1708.001428,1816.547124,1838.209968
Kiribati,1542.616968,1584.737028,1640.57196,1698.329587,1655.050693,1670.824691
"Korea, Dem. People's Rep.",..,..,..,..,..,..
"Korea, Rep.",28732.23108,29288.87044,31616.8434,33422.94421,31846.21823,31489.1227
Kosovo,3603.025501,3780.003689,4045.614209,4419.914327,4445.890702,4287.200903
Kuwait,29869.55275,27653.15762,29759.46744,33399.06048,32373.25111,..
Kyrgyz Republic,1121.082835,1120.666513,1242.769643,1308.139779,1374.031136,1173.611356
Lao PDR,2134.713062,2308.799808,2423.847598,2542.489769,2544.95255,2630.203774
Latvia,13774.60527,14315.79289,15643.48563,17849.5593,17794.47862,17619.95239
Lebanon,7644.545147,7626.300196,7792.59886,8012.539237,7583.699146,4891.00147
Lesotho,1146.064688,1018.931093,1102.94441,1192.48432,1113.37214,861.0145481
Liberia,710.3840166,714.6233922,698.7023587,677.3223191,621.8929536,583.2717273
Libya,4337.919139,4035.196802,5756.699325,7877.12461,7685.948132,3699.228621
Liechtenstein,167313.2663,165642.3863,171253.9643,180366.7152,..,..
Lithuania,14258.22933,14998.12506,16843.69965,19166.81227,19555.21107,19997.59253
Luxembourg,101376.4966,104278.391,107361.3069,116597.2956,114685.1684,115873.6026
"Macao SAR, China",74839.33204,73569.43369,81044.88998,87554.71386,86117.65543,..
Madagascar,467.2355537,475.9556084,515.2933093,518.401123,526.2245722,495.4904009
Malawi,380.5969877,315.7779871,497.3104097,535.3513457,583.1102036,625.2941292
Malaysia,9955.242722,9817.78709,10259.30481,11377.6542,11414.20269,10401.79401
Maldives,9033.459724,9209.399665,9577.702376,10276.77339,10626.43335,7455.855728
Mali,751.4728866,780.7235695,830.0215153,894.8047765,879.1227752,858.9158055
Malta,24921.60368,25741.44606,28250.69777,30672.29224,30186.19596,27884.64283
Marshall Islands,3199.886846,3490.998389,3672.576783,3793.550983,4073.10983,..
Mauritania,1524.071753,1536.854888,1577.86437,1601.291932,1679.442605,1672.923535
Mauritius,9260.447303,9681.623107,10484.90583,11208.3273,11097.58693,8622.675515
Mexico,9616.645558,8744.515559,9287.849587,9686.514244,9946.033829,8346.702379
"Micronesia, Fed. Sts.",2906.617012,3014.700358,3289.642117,3568.291016,3585.423202,..
Moldova,2732.457113,2880.439281,3509.69345,4230.363037,4494.018403,4551.130676
Monaco,165989.5051,170028.6557,167517.0597,185978.6093,190512.7374,..
Mongolia,3918.587015,3660.151944,3669.406934,4134.979372,4339.844625,4007.308885
Montenegro,6517.163752,7033.604899,7803.411137,8850.094631,8910.651554,7686.092949
Morocco,2875.257985,2896.722196,3035.454433,3226.982794,3230.409722,3009.24946
Mozambique,589.85905,428.9266729,461.4150941,503.3179252,503.5706566,448.6074536
Myanmar,1144.474341,1158.434566,1257.803576,1279.089756,1477.355368,1400.218242
Namibia,4896.61526,4546.986687,5367.114673,5587.985613,5037.342629,4211.050929
Nauru,8365.07289,9555.79043,10360.77731,11614.66508,10983.22465,..
