Rank,Country,Crime Index
1,Venezuela,83.23
2,Papua New Guinea,79.88
3,Honduras,76.84
4,South Africa,76.8
5,Afghanistan,76.63
6,Trinidad And Tobago,74.04
7,Brazil,70.24
8,Namibia,68.66
9,El Salvador,68.08
10,Kazakhstan,66.51
11,Bangladesh,65.82
12,Puerto Rico,65.53
13,Peru,65.28
14,Jamaica,65.28
15,Nigeria,64.41
16,Syria,63.59
17,Argentina,62.55
18,Dominican Republic,61.35
19,Malaysia,60.79
20,Somalia,60.1
21,Mongolia,59.76
22,Libya,59.18
23,Tanzania,59.01
24,Costa Rica,56.05
25,Guatemala,55.92
26,Kenya,54.82
27,Maldives,53.29
28,Bolivia,53.29
29,Uganda,53.27
30,Mexico,52.3
31,Uruguay,52.01
32,Ghana,51.95
33,Zimbabwe,51.8
34,Cambodia,51.28
35,Colombia,51.26
36,Egypt,50.71
37,Morocco,50.24
38,Sweden,49.35
39,Iran,49.33
40,Ecuador,48.98
41,Ukraine,48.88
42,Vietnam,48.78
43,Algeria,48.33
44,Ethiopia,47.18
45,United States,47.13
46,Chile,46.81
47,Mauritius,46.81
48,Pakistan,46.73
49,Thailand,46.66
50,Panama,46.43
51,France,46.39
52,Indonesia,46.01
53,Iraq,45.56
54,China,45.46
55,Moldova,45.45
56,Italy,45.02
57,Ireland,44.52
58,Lebanon,44.27
59,Jordan,43.82
60,Bosnia And Herzegovina,43.79
61,Australia,42.76
62,United Kingdom,42.72
63,India,42.72
64,Belgium,42.46
65,Tunisia,42.29
66,Russia,41.93
67,Sri Lanka,41.03
68,Philippines,40.83
69,Montenegro,40.48
70,Turkey,40.38
71,Albania,40.3
72,Bulgaria,40
73,New Zealand,39.55
74,Canada,39.51
75,North Macedonia,39.29
76,Greece,38.57
77,Serbia,37.27
78,Palestine,36.99
79,Latvia,36.77
80,Lithuania,36.51
81,Nepal,36.44
82,Norway,35.32
83,Hungary,35.17
84,Germany,34.51
85,South Korea,34.05
86,Kuwait,33.91
87,Malta,33.53
88,Bahrain,32.87
89,Spain,32.46
90,Israel,32.16
91,Portugal,32.13
92,Azerbaijan,31.67
93,Poland,30.09
94,Saudi Arabia,29.73
95,Slovakia,29.54
96,Cyprus,29.31
97,Luxembourg,29.07
98,Netherlands,28.57
99,Romania,27.84
100,Czech Republic,26.66
101,Croatia,24.69
102,Denmark,24.25
103,Belarus,23.53
104,Iceland,23.28
105,Oman,22.83
106,Finland,22.8
107,Slovenia,22.57
108,Armenia,22
109,Switzerland,21.5
110,Singapore,21.47
111,Austria,21.37
112,Estonia,20.8
113,Georgia,19.86
114,Hong Kong,19.32
115,Taiwan,17.38
116,United Arab Emirates,16.32
117,Japan,13.73
118,Qatar,13.26
